Código Producto,Producto,Fecha Primera Compra,Fecha Última Venta,Todas las Fechas de Compra,Todas las Fechas de Venta,Total Comprado (Cant),Total Ajustes (Cant),Total Vendido (Cant),Stock Teórico Mvs,Stock Real (Sistema),Importe en Inventario (Sistema),Importe de Compra,Precio de Compra (Promedio),Precio de Venta (Promedio),Importe Total Costo,Importe Total Venta,Ganancia (Venta - Costo),% Margen Comercial / Venta,Facturas de Compra/Entrada,Facturas de Venta/PDV
100000000001,GALLETAS DULCES/SALADAS - CAJAS,23/06/2025,31/07/2025,23/06/2025,"30/06/2025, 23/07/2025, 23/07/2025, 31/07/2025, 31/07/2025",4144,11832,15976,0,0,0,2619338.5001616,632.0798,373.0004,750671.000812,968800,218129,22.52,"DCEX017,05,2025","0001DE25, 0005DE25"
100000000002,DULCE COPAS CHOCOLATE - CAJA,23/06/2025,13/03/2026,"23/06/2025, 26/01/2026, 26/01/2026, 03/02/2026","30/06/2025, 28/11/2025, 28/01/2026, 29/01/2026, 30/01/2026, 18/02/2026, 13/03/2026",3907,5490,8177,1220,0,0,4032559.1599051002,1032.137,363.4307,2971773.087831,3518519,546745.91,15.54,"DCEX017,05,202, DCEX126,12,2025, DCEXP013,01,2026, DCEXP014,01,2026","0001DE25, 0011DE26, 0012DE26, 0013DE26, 0015DE26, 0017DE25, 0018DE26"
100000000003,DULCY GUMMI BALL - CAJA,23/06/2025,18/02/2026,"23/06/2025, 26/01/2026, 03/02/2026","30/06/2025, 28/11/2025, 28/01/2026, 29/01/2026, 30/01/2026, 03/02/2026, 18/02/2026",33675,22995,23813,32857,30667,2636500.88,9819705.339756,291.6022,151.3622,3604387.135933,4470857.05,866469.91,19.38,"DCEX017,05,202, DCEX126,12,2025, DCEXP014,01,2026","0001DE25, 0011DE26, 0012DE26, 0013DE26, 0014DE26, 0015DE26, 0017DE25"
100000000004,DULCES HUEVOS SORPRESAS - CAJA,23/06/2025,28/11/2025,23/06/2025,"30/06/2025, 28/11/2025",900,0,900,0,0,0,2471798.40003,2746.4427,2698.2915,2428462.31667,2838000,409537.68,14.43,"DCEX017,05,202","0001DE25, 0017DE25"
100000000005,SNACK TOTOX MARRANETA - CAJAS,23/06/2025,13/03/2026,"23/06/2025, 01/10/2025, 30/10/2025, 30/10/2025, 03/02/2026","28/11/2025, 13/03/2026",1023,3040,3743,320,0,0,1033870.7600047,1010.6264,276.2145,1033870.759933,1175965.85,142095.09,12.08,"20253815, 20253898, 20253900, DCEX0132,12,2025 , DCEX03,05,2025","0017DE25, 0018DE26"
100000000006,GALLETAS MARIA,27/08/2025,18/02/2026,"27/08/2025, 26/01/2026","30/08/2025, 31/08/2025, 31/08/2025, 27/01/2026, 28/01/2026, 29/01/2026, 03/02/2026, 18/02/2026",50085,108381,157752,714,0,0,889921.2919989,17.7682,15.4028,889921.292249,1131325.88,241404.59,21.34,"20253242, DCEX12,01,2026","0001DE26, 0008DE25, 0011DE26, 0012DE26, 0014DE26, 0015DE26"
100000000008,DULCES CHIPIRINES,30/10/2025,18/02/2026,"30/10/2025, 30/10/2025, 26/01/2026, 03/02/2026","30/10/2025, 30/10/2025, 30/10/2025, 30/10/2025, 30/10/2025, 30/10/2025, 28/11/2025, 27/01/2026, 18/02/2026",2313,13710,15303,720,0,0,3046554.630012,1317.1442,324.7525,1969254.630185,2249223.6,279968.97,12.45,"20253901, 20254177, DCEX126,12,2025, DCEXP014,01,2026","0002DE26, 0015DE26, 0016DE25, 0017DE25"
100000000009,DULCE COPA DE CHOCO,30/10/2025,28/11/2025,"30/10/2025, 30/10/2025",28/11/2025,762,0,762,0,0,0,429905.6699832,564.1807,564.1807,429905.670007,487680,57774.33,11.85,"20253901, 20254177",0017DE25
100000000010,DULCE GUMMY BALL,30/10/2025,28/11/2025,"30/10/2025, 30/10/2025, 26/01/2026",28/11/2025,2857,42168,849,44176,40160,2931204,3348389.2599966004,1171.9948,491.3843,417185.260003,475440,58254.74,12.25,"20253901, 20254177, DCEXP013,01,2026",0017DE25
100000000011,GALLETAS LECHE,30/10/2025,28/11/2025,30/10/2025,28/11/2025,17128,0,17128,0,0,0,3250007.9198064,189.7482,189.7482,3250007.919806,3682520,432512.08,11.75,20254065,0018DE25
